#
#   version : pre1.0-239-gcf65bfc
#    num_fr : 69
#    num_tr : 3625
#      time : 20180521 03:54:53.972 UTC
#      unix : 1526874893.972926
#       ntp : LOCK 13218 6756 4
#       seq : 81741
#       mul : 0 [A]
#      site : 02
#    latlon : 43.1928 -81.3157 324.0
#      text : Elginfield_Wide_G4-18-C
#    stream : KT
#     plate : metal_20180201_02_pre1.0-177-g5127e76
#      geom : 900 900
#    filter : 0
#
#  fr    time    sum     seq       cx       cy      th      phi     lsp    mag  flag   bak    max
  121   0.388 132313   81772  372.420  232.216  42.963   78.442 -12.833   3.20  0000 1424.1 4708.0
  122   0.401 136442   81773  377.737  233.436  43.152   78.555 -12.983   3.05  0000 1435.6 4784.0
  123   0.413 122025   81774  381.071  235.438  43.262   78.691 -12.859   3.17  0000 1450.5 4268.0
  124   0.426 107014   81775  383.978  238.147  43.353   78.862 -12.612   3.42  0000 1464.7 4738.0
  125   0.438 103580   81776  388.647  240.428  43.512   79.023 -12.533   3.50  0000 1477.8 4038.0
  126   0.451 111169   81777  393.557  242.781  43.679   79.190 -12.734   3.30  0000 1488.0 4185.0
  127   0.463 118667   81778  395.885  243.664  43.760   79.256 -12.756   3.27  0000 1491.9 3814.0
  128   0.476  79441   81779  399.879  245.254  43.898   79.373 -11.981   4.05  0000 1504.4 3662.0
  129   0.488  77533   81780  402.700  247.791  43.988   79.531 -12.048   3.98  0000 1518.6 3536.0
  130   0.513  98885   81782  410.736  250.474  44.270   79.736 -12.670   3.36  0000 1542.9 3814.0
  131   0.526  70928   81783  413.684  251.940  44.371   79.836 -12.279   3.75  0000 1549.2 3243.0
  132   0.538  76528   81784  415.307  254.430  44.417   79.980 -11.968   4.06  0000 1562.0 4021.0
