#
#   version : pre1.0-239-gcf65bfc
#    num_fr : 24
#    num_tr : 1029
#      time : 20180521 06:07:00.217 UTC
#      unix : 1526882820.217329
#       ntp : LOCK 8697 4745 3
#       seq : 102890
#       mul : 0 [A]
#      site : 02
#    latlon : 43.1928 -81.3157 324.0
#      text : Elginfield_Wide_G4-18-C
#    stream : KT
#     plate : metal_20180201_02_pre1.0-177-g5127e76
#      geom : 900 900
#    filter : 0
#
#  fr    time    sum     seq       cx       cy      th      phi     lsp    mag  flag   bak    max
   80  -0.188  19074  102875  832.998  164.503  60.254   78.582 -10.741   5.29  0000 165.3  954.0
   81  -0.175  19853  102876  834.549  170.015  60.282   78.821 -10.420   5.61  0000 171.1  864.0
   82  -0.163  22516  102877  837.359  173.544  60.367   78.985 -10.965   5.06  0000 169.7 1076.0
   83  -0.150  26781  102878  838.746  179.577  60.387   79.245 -11.102   4.93  0000 178.3  861.0
   84  -0.138  20470  102879  841.141  185.459  60.446   79.504 -10.547   5.48  0000 181.6  891.0
   85  -0.125  25052  102880  843.513  188.258  60.519   79.634 -11.023   5.01  0000 182.0  942.0
   87  -0.100  28475  102882  847.534  196.489  60.628   80.000 -11.045   4.99  0000 184.8 1243.0
   88  -0.088  31626  102883  850.220  201.730  60.702   80.233 -11.274   4.76  0000 185.5 1666.0
   89  -0.075  41665  102884  853.220  206.702  60.789   80.456 -11.683   4.35  0000 185.5 1773.0
   90  -0.063  40820  102885  854.910  210.629  60.834   80.628 -11.505   4.52  0000 189.4 1868.0
   91  -0.050  41756  102886  856.884  215.119  60.887   80.825 -11.710   4.32  0000 192.9 1540.0
   92  -0.038  39912  102887  858.805  219.434  60.939   81.015 -11.683   4.35  0000 194.7 1748.0
   93  -0.025  39145  102888  860.113  225.564  60.962   81.277 -11.602   4.43  0000 199.9 1497.0
   94  -0.013  43386  102889  863.510  229.320  61.071   81.449 -11.698   4.33  0000 198.0 1790.0
   95   0.000  44251  102890  865.191  233.887  61.114   81.647 -11.652   4.38  0000 198.7 2002.0
   96   0.013  41506  102891  866.615  238.426  61.149   81.843 -11.579   4.45  0000 204.0 1558.0
   97   0.025  37632  102892  868.873  243.510  61.212   82.065 -11.714   4.32  0000 206.5 2110.0
   98   0.038  43758  102893  870.970  249.134  61.268   82.308 -11.900   4.13  0000 211.4 1676.0
   99   0.050  19088  102894  867.727  254.722  61.129   82.528 -11.717   4.31  0000 230.5 1724.0
  100   0.063  27865  102895  873.906  257.860  61.344   82.684 -11.629   4.40  0000 215.2 2125.0
  101   0.075  16532  102896  871.319  261.503  61.237   82.826 -11.651   4.38  0000 228.9 2235.0
  102   0.088  13517  102897  872.585  266.090  61.267   83.022 -11.596   4.43  0000 233.6 1603.0
  103   0.100   9662  102898  872.981  272.022  61.262   83.271 -10.711   5.32  0000 244.3 1577.0
  104   0.113  15370  102899  872.810  276.453  61.241   83.456 -10.595   5.43  0000 253.7  599.0
